ID	Text	LanguageID	Translation
1392513	Mae e'n byw yng Nghaerdydd.	1392512	He lives in Cardiff.
1392516	Dw i ddim yn hoffi coffi.	33536	I don't like coffee.
1392530	Es i i'r siop.	654924	I went to the shop.
1392537	Dw i'n dod o Loegr.	66622	I come from England.
1392537	Dw i'n dod o Loegr.	1388580	I'm from England.
1392566	Dw i'n dy garu di.	1434	I love you.
1394289	Mae'r car yn las.	1394266	The car is blue.
1396327	Ble mae'r llyfr?	43928	Where is the book?
1400808	Dw i'n hoffi ieithoedd.	239730	I like languages.
1407028	Dw i'n gwybod.	319990	I know.
1415422	Ond fe gysgodd fel baban.	507701	But he slept like a baby.
1415424	Dyma eich allwedd.	61534	Here is your key.
1415425	Mae annwyd arnaf i.	1369187	I've got a cold.
1415426	Wyt ti'n hoffi te?	1098230	Do you like tea?
1415429	Beth sydd fel arfer yn achosi'r boen?	778797	What usually causes the pain?
1415457	Pwnc heddiw ydyw "y broblem o bobol Siapanaidd sydd wedi cael eu herwgipio gan Ngogledd Corea".	327573	Today's topic is "the problem of Japanese people abducted by North Korea".
1422530	Cafodd hi ei geni yn America.	1422501	She was born in America.
1422579	Mae e'n dod o Gymru.	1422576	He comes from Wales.
1444957	Mae e'n gwybod ble dyn ni'n byw.	914047	He knows where we live.
1493473	Pwy ydw i?	259378	Who am I?
1494692	Esgusodwch fi. Ydych chi'n siarad Saesneg?	264984	Excuse me. Do you speak English?
1494695	Faint yw hwn?	925040	How much is this?
1494697	Ble mae'r toiled?	38932	Where's the restroom?
1494697	Ble mae'r toiled?	38937	Where is the toilet?
1494697	Ble mae'r toiled?	38938	Where's the toilet?
1494697	Ble mae'r toiled?	976180	Where's the loo?
1494702	Penblwydd Hapus!	453219	Happy birthday!
1494718	Mae fy hofrenfad yn llawn llyswennod.	348790	My hovercraft is full of eels.
1524740	Tom ydy fy ffrind gorau.	1524561	Tom is my best friend.
1524747	Mae llygaid du 'da fi.	1523679	I have black eyes.
1524748	Wyt ti'n byw yn Nhokyo?	279737	Do you live in Tokyo?
1524749	Dych chi'n byw yn Nhokyo?	279737	Do you live in Tokyo?
1524755	Mae cath wen 'da fi.	1523604	I have a white cat.
1524759	Mae Tom yn chwyrnu.	1523557	Tom is snoring.
1524767	Dw i'n hoffi cŵn.	252245	I like dogs.
1524768	Dyn ni ym Mharis.	1098338	We are in Paris.
1525589	Gaf i eistedd yma?	61514	May I sit here?
1525589	Gaf i eistedd yma?	1537275	Can I sit here?
1527222	Dw i'n hoffi tennis.	255080	I like tennis.
1533109	Atgyfododd Crist!	1533149	Christ is risen!
1545733	Sut wyt ti?	373320	How are you?
1545734	Sut dych chi?	373320	How are you?
1545744	Dw i'n dod o'r Eidal a dw i'n siarad Eidaleg.	5087334	I come from Italy and I speak Italian.
1545747	Dw i'n dod o Awstralia.	253219	I come from Australia.
1545752	Dw i'n dod o Frasil.	255520	I come from Brazil.
1545758	Dw i'n dod o Siapan.	281170	I come from Japan.
1545762	Does dim arian 'da fi, ond breuddwydion 'da fi.	18594	I have no money, but I have dreams.
1547166	Diolch.	374827	Thank you!
1547166	Diolch.	448645	Thanks!
1547166	Diolch.	2057650	Thanks.
1547432	Mae hi'n bwrw glaw.	1862	It is raining.
1547432	Mae hi'n bwrw glaw.	456237	It's raining.
1547446	Mae hi'n bwrw cesair.	456217	It's hailing.
1547500	Iaith hardd yw'r Gymraeg.	1547501	Welsh is a beautiful language.
1547510	Dw i wedi ennill y gêm.	1547523	I have won the game.
1547532	Dw i ddim yn teimlo'n dda.	1717	I don't feel well.
1547532	Dw i ddim yn teimlo'n dda.	20288	I'm not feeling well.
1547544	Dw i'n hen.	1547545	I am old.
1547839	Dw i'n caru Tatoeba.	1200089	I love Tatoeba.
1551604	Dw i eisiau cysgu.	321870	I want to sleep.
1551607	Mae Tom yn dal.	1024843	Tom is tall.
1551608	Mae Tom yn benfoel.	1025079	Tom is bald.
6443789	Bore da.	329713	Good morning!
1551615	Ddaeth Tom?	1495915	Did Tom come?
1551617	Dw i'n gallu deall dy iaith di.	29040	I can understand your language.
1551619	Pasg Hapus!	66762	Happy Easter!
1551620	Mae ci 'da fe.	288121	He has a dog.
1551625	Mae e'n ei helpu hi.	302897	He helps her.
1551626	Mae car 'da fe.	513545	He has a car.
1551640	Arwr yw e.	969134	He is a hero.
1551643	Bardd yw e.	298215	He is a poet.
1551657	Carodd e hi.	1522055	He loved her.
1551662	Mae e'n ei charu hi.	394633	He loves her.
1551680	Dw i'n gweithio.	340708	I am working.
1551683	Dw i'n teimlo'n hapus.	257373	I feel happy.
1552234	Mae llygad ddu 'da fi.	2692270	I have a black eye.
1571065	Doedd bron ddim arian ar ôl.	64596	There was scarcely any money left.
1571066	Dydy o ddim yn gallu cyfri.	300223	He can't count.
1571068	Doedd ddim digon o aur gyda nhw.	802211	They did not have enough gold.
1571070	Panda wyt ti.	1234048	You are a panda.
1571072	Mae fy marn i yn debyg i dy farn di.	250450	My opinion is similar to yours.
1571073	Mathemateg ydy ein gwers cyntaf ni.	454061	Our first lesson is math.
1571074	Mae hi'n bwyta ei chinio yn yr adref.	312844	She has lunch at home.
1571076	Peidiwch â thaflu sbwriel fan yma.	1290715	Don't throw garbage away here.
1571078	Peidiwch â chymryd ei hochr ef bob amser.	286008	Don't always take sides with him.
1571080	Mae Tom yn wallgof dros Mary.	1494209	Tom is crazy about Mary.
1571081	Ble mae'r problem?	1431	Where is the problem?
1571084	Yn sicr, mae'n mynd i bwrw glaw.	63367	It's going to rain, for sure.
1571089	Aeth Alice i'r gwely am ddeg o'r gloch.	67351	Alice went to bed at ten.
1571091	Esgusodwch fi.	433504	Excuse me.
1588714	Dros fy nghrogi!	1588709	Over my dead body!
1768224	Rwyt ti'n fy neall i.	1188207	You understand me.
1768227	Dych chi'n fy neall i.	1188207	You understand me.
1959748	Nid yw un iaith byth yn ddigon.	614312	One language is never enough.
1963678	Dw i methu aros yma heno.	1954917	I can't stay here tonight.
1963679	Gofynodd y dewin am wirfoddolwr o'r gynulleidfa.	517831	The magician asked for a volunteer from the audience.
1963680	Wyt ti'n hoffi golff?	855612	Do you like golf?
1963688	Dydi hi ddim yn dda i orfwyta.	268624	It's not good to overeat.
1963691	Mae Tom yn casáu pawb.	1740821	Tom hates everybody.
1963696	Mae hi'n braf iawn heddiw.	242711	It is very fine today.
1963699	Pa bryd wnawn ni ail-baentio ei hystafell hi?	1580102	When will we repaint her room?
1963702	Doeddwn i ddim yn barod.	1887951	I wasn't ready.
1963704	"Beth yw enw dy wraig?" "Dydw i ddim yn briod."	1126074	"What's your wife's name?" "I'm not married."
1963720	Cuddiodd y llwynog yn y goeden wag.	63325	The fox hid in the hollow tree.
1963746	Mae ganddo fab a dwy ferch.	284640	He has a son and two daughters.
1963772	Mae'r ferch yn hoffi ceffylau.	462732	The girl likes horses.
1963836	Mae Tocio yn ddinas enfawr.	279781	Tokyo is a huge city.
1963848	Rwyt ti'n ddynes.	1228743	You are a woman.
1963852	Mae o'n hunanol iawn.	322193	He's really selfish.
1963940	Dw i'n casáu'r byd oherwydd bod y byd yn fy nghasáu innau.	1007446	I hate the world because the world hates me.
1963944	Mae Tom wedi bod yn tyfu barf trwy'r haf.	1093695	Tom has been growing a beard all summer.
1963945	Roeddwn i'n ddyn cyfoethog.	256970	I was a rich man.
1963949	Prynais tair potel o win.	1944150	I bought three bottles of wine.
1963952	Wyt ti erioed wedi bwyta cig morfil?	953297	Have you ever eaten whale meat?
1963956	Mi glywais i'r dail yn siffrwd.	323598	I heard the leaves rustling.
1963958	Mae gan y ddwy ferch llygaid gleision.	43824	Both girls have blue eyes.
1963959	Mae Tatoeba yn wefan gyfieithu.	1819363	Tatoeba is a translation website.
1963961	Cafodd ei fagu gan ei daid a'i nain.	1795477	He was raised by his grandparents.
1963972	Creda Tom mewn tylwyth teg.	1537159	Tom believes in fairies.
1963978	Gwna beth sy'n iawn.	271578	Do what is right.
1963981	Ble mae'r safle bws?	35234	Where's the bus stop?
1963984	Tybed beth ddigwyddodd iddo?	403314	I wonder what happened to him.
1963989	Dydw i ddim eisiau brechdanau.	53928	I do not want any sandwiches.
1964087	Dydy Tom ddim yn deall Ffrangeg.	1025933	Tom doesn't understand French.
1964091	Teimlas yn unig hebddi.	1364297	I felt lonely without her.
1964094	Mae'r ci hwn yn rhedeg yn gyflym.	1112501	This dog runs fast.
1966844	Dw i angen nodiadur er mwyn ysgrifennu fy nodiadau.	436827	I need a notebook to write my notes.
1966846	Paid â darllen fy nyddiadur.	1845512	Don't read my diary.
1966847	Peidiwch â darllen fy nyddiadur.	1845512	Don't read my diary.
1966853	Dydw i ddim yn gwybod ei rhif ffôn hi.	681586	I don't know her telephone number.
1966857	Er ei bod hi'n bwrw glaw, mi es i allan.	1565508	Although it was raining, I went out.
1966857	Er ei bod hi'n bwrw glaw, mi es i allan.	3688434	Even though it was raining, I went out.
1966862	Mae gen i ddau frawd ac un chwaer.	249763	I have two brothers and one sister.
1966866	Mi es i i'r parc gyda Mary ddoe.	257748	I went to the park with Mary yesterday.
1966867	Mae o'n byw yn ei gar.	1837893	He lives in his car.
1966869	Rwyt ti'n berffaith normal.	1655425	You're perfectly normal.
1966869	Rwyt ti'n berffaith normal.	3688430	You are perfectly normal.
1966870	Dw i'n berffeithydd.	1330977	I'm a perfectionist.
1966871	Rwy'n berffeithydd.	1330977	I'm a perfectionist.
1966872	Mae fy mrawd yn cyrraedd bore 'fory.	250731	My brother is arriving tomorrow morning.
1966872	Mae fy mrawd yn cyrraedd bore 'fory.	3688427	My brother arrives tomorrow morning.
1966873	Dw i ddim yn hoffi dyddiau gwyntog.	436521	I don't like windy days.
1966874	Mae hi'n saith o'r gloch.	875819	It's seven o'clock.
