dialogue,classification,translation
Nga hap ban leit sha ka painkhana.,khasi,I have to go to the toilet.
Yn ym don da kawei ka por.,khasi,There won't be a next time.
Ngam ju dei kaei-kaei ruh.,khasi,I can't get anything right.
Ka miaw ka paw na khrum ka mieij.,khasi,A cat appeared from under the desk.
Nga sngewbha shibun ban don hangne.,khasi,I'm very pleased to be here.
Don ba iohsngew ianga?,khasi,Does anybody hear me?
Phi don eiei ban kylli ianga?,khasi,Is there something you want to ask me for?
U Tom u lah dei ban sngewsih bha.,khasi,Tom must've been very disappointed.
U Kapten udei uba khatduh ban mih na ka Jhat ba ngam.,khasi,The captain was the last person to leave the sinking ship.
Khublei!,khasi,Thank you!
Hynrei balei?,khasi,But why?
Sa kaei don hangto?,khasi,What else is there?
Sa kaei?,khasi,What else?
Pynpait ki pylleng bad weng ki shangai.,khasi,Break the eggs and remove the yolks.
U Tom u dei u paralok banyngkong jongnga ha facebook.,khasi,Tom was my first Facebook friend.
Balei phi mynjur?,khasi,Why did you agree?
Balei phi slem?,khasi,Why are you late?
Hangno phi don?,khasi,Where are you?
Haei phi don?,khasi,Where are you?
Naduh mynno?,khasi,Since when?
Mynno kata?,khasi,When was that?
Lano ka bammiet?,khasi,When's dinner?
Lano sngikha jongphi?,khasi,When is your birthday?
Ka nar ka ran ynda lah pjah.,khasi,Metal contracts when cooled.
Katno baje wai skul?,khasi,When is school over?
Lano kut skul?,khasi,When is school over?
Lano kan sdang?,khasi,When does it begin?
Nga don thyllieh.,khasi,I have dandruff.
Husiar! Ki jingim ha kane ka Iunivers la ker sawdong da 100% ki thyllieh. Phi kwah da kaba thymmai?,khasi,Warning: the lifeforms in this universe are surrounded by 10% dandruff. Would you like to set up a new one?
"Lada ki dei ki nong-Canada, kane ka jingeh kan nyn don.",khasi,"If they were Canadians, this problem wouldn't exist."
Balei ngim ju leh tennis ha ka sngi-u-blei?,khasi,Why don't we play tennis on Sunday?
Ka jingkhyllah!,khasi,How weird is that?
Sngewbha jarjar.,khasi,Please keep your voice down.
U khublei ianga da ki khmat jongu.,khasi,He thanked me with his eyes.
U Tom u heh ia nga tang katto-katne snem.,khasi,"Tom is a couple of years older than me, I think."
Shaei ka jhat?,khasi,Where is the ship?
Nga dang duhnong.,khasi,I'm losing business.
Don kaei-kaei ka ba nga kwah ban kylli iaphi.,khasi,There's something that I've been wanting to ask you.
Balei?,khasi,Why?
Baleh aiu?,khasi,Why?
Ka dukan ka khang lashai.,khasi,The store will be closed tomorrow.
U ieng hangto shiphang.,khasi,He stood there for a while.
Ka race shispah mitar kan sdang ar baje mynsngi.,khasi,The one-hundred-metre run starts at two in the afternoon.
U Tom u leit khlem jingbam baroh shi taiew.,khasi,Tom went without food for a whole week.
U Tom u ai ia ka albom dur ha ka Mary.,khasi,Tom handed the photo album to Mary.
Ka pang.,khasi,That hurts.
Ka pang kato.,khasi,That hurts.
Shim da kawei ka shuki.,khasi,Take the other chair!
Nga ieid ia katai ka shuki.,khasi,I love that chair.
Kane ka shuki ka isih.,khasi,This chair is ugly.
Kine ki shuki ki pher.,khasi,These chairs are different.
Kane ka shuki ka sting.,khasi,This chair is light.
Ka bneng ka shai.,khasi,The sky brightened.
ka bneng ka i dom.,khasi,The sky looks angry.
Phi tip dei shaphang kaei kine baroh?,khasi,Do you know what this is all about?
