dialogue,classification,translation
Na wai óki i o mai?,maori,Who gave it thee?
Na Táka ra óki,maori,Táka.
E tángata pai ra nei ía?,maori,Is Táka a good man?
E tángata pai; e tángata hóha.,maori,A good man; a generous man.
Ke ihéa kóia tóna káinga?,maori,Where is his residence?
Ke Port Jákson ra óki; ke Paramáta.,maori,At Port Jackson; at Parramatta.
Kóa tai óti koe ki reira?,maori,Hast thou been there?
Kóa tai ra óki 'au,maori,I have been there.
I nahéa?,maori,When was it?
I te e áutóke ra óki: ka tai áno 'au ka e óki mai.,maori,It was in winter: just now I am returned here.
E. wahíne óti ta Táka?,maori,Has Táka a wife?
E wahíne ra óki tana.,maori,He has a wife.
Tóko hía ána tamaníki?,maori,How many children has he?
Tóko óno,maori,Six.
E'aha tána máhinga?,maori,What is his office?
E karakía ra óki ki tóna Atúa.,maori,"A praying to, or calling upon his God."
E tohúnga pe óki ía?,maori,Perhaps he is a priest?
E tohúnga ra óki,maori,He is a priest.
Ko wai óld tóna Atúa?,maori,Who is his God?
Ko Jihóva ra óki; ko Jizus Kraist; ko te Waidúa pai.,maori,"Jehovah, Jesus Christ, the Good Spirit."
E tódu ra nei énei Atúa?,maori,Are these possibly three Gods?
E téka. Ko táhi ra óki rátu; ko Jihóva ra óki to rátu ingóa waka éra éra.,maori,No. They are one; Jehovah is their great name.
E aire ána koe?,maori,Artthou moving (or going)?
"E aire ána ra óki 'au. Apópo ka e óki mai, kía wakáko táu'.",maori,"I am moving. To-morrow return back, when thou and I will teach."
Aire átu ra,maori,Go in health (farewell).
I ko na ra,maori,"Remain here in health, (farewell)."
Aire mai rá; aire mai; aire mai! Té na ra ko koe.,maori,"Come cheerly; come, come! Health to thee."
E'mara má! nohéa ténei kai?,maori,Friends! whence is this food?
No te Wai Máte,maori,From te Wai Máti.
Na e O'ngi óki i ó mai ki á kodúa?,maori,Did e O'ngi give' it you?
"Na tána wahíne ra óki i ó mai. Ke táwahi ra óki e O'ngi, ke Ingland. Ki á no koe i róngo nóa?",maori,"His wife gave it to us. e O'ngi is on the other side of the water, in England, Have you not heard?"
Ki a no 'au i róngo nóa.,maori,I have not heard.
"Kóa díro ke ráia; kóa tai ke, méa ka e óki mai.",maori,He has been gone some time: has arrived; is about to return.
A'i! k'wai tóna kaipúke i éke ai ía?,maori,Indeed! What ship did he embark in?
Ko Niw Zílandar ra óki.,maori,In the New Zealander.
K'wai ra te rangatíra o te kaipúke nei?,maori,Who commands the ship?
Ko Kaptan ——,maori,Captain ——.
K'wai ra to e O'ngie O'a?,maori,Who is E Ongi's friend?
Ko Waikáto,maori,Waikáto.
Na wai óti i kitéa ta ráua ékenga ki dúnga ki te kaipúke?,maori,Who attended their embarkation on board the ship?
Ko té aha óti rátu ki Ingland?,maori,What are they going to do in England?
"Ko te títiro átu óki ki te pai o te wenúa óki, ki te ánga o te pákeha óki, ki te tíni o te tángata óki.",maori,"To see the goodness of the land, the occupations of the people, the number of the inhabitants."
E e óki mai ána rátu katóa?,maori,Do they all return?
"E e óki mai ána ra óki rátu. E ánga mai ána pe óki rátu ki nga tamaníki, mé aki te tángata máodi. E kóre pe óki rátu eóti átu.",maori,"They return. They perhaps regard their children, and the people of their country. Perhaps they will not remain a-broad."
Méa pai ra. Ahéa rátu e e óki mai ai?,maori,Well. When will they return?
A te rau máti ra óki; a te nga údu.,maori,"In summer, towards autumn."
E'koro! ko koe téna?,maori,Comrade! is that thee?
Ko 'au ra óki. No te rápu ra óki 'au ki tóku kákahu kóa diro i te taéhaé.,maori,It is. I have been searching for my garment which had been stolen.
Na wai óki i taéhaé?,maori,Who stole it?
Na te mánu wídi ra óki; na te tángata.,maori,The strangers; the man.
Ka kíte' óti koe?,maori,Hast thou seen it?
Ka kíte' ra óki 'au; e kóre e waka e óki mai.,maori,I have: (he) will not return it.
"Aíre e óki koe, meangátu.",maori,"Go again, and ask for it."
Ka róngo pe óki te tángata ki á koe?,maori,Perhaps the man would hear thee?
Aire táua. Na! ka díro mai.,maori,Let us go. See! (I have) got it.
Maua ráwa koe.,maori,Thou and I are good friends.
E'aha kóia tóu méa e óko?,maori,What hast thou to sell?
E kapána ra óki,maori,Potatoes.
. E'aha te útu?,maori,"What is the exchange, or price?"
E pu ra óki,maori,A musket.
E hía kéte?,maori,How many baskets?
E díma te kau ra óki.,maori,Fifty.
"Ter'hía mai, (for tére hía mai).",maori,Bring them here.
Na wai kóia enei pórka?,maori,Whose are these hogs?
Na ténei tángata,maori,They are this man's.
Máku óki e e óko ki á ía.,maori,I will purchase them from him.
E'aha táu méa e óko?,maori,What hast thou to exchange?
"E tóki, e kahédu, epúka, e kóta, me téra átu.",maori,"Axes, hogs, spades, plane irons, and other things."
E hía óu tóki mo áku porka?,maori,How many axes for my hogs?
Ka wá,maori,Four.
