dialogue,classification,translation
Mae e'n byw yng Nghaerdydd.,welsh,He lives in Cardiff.
Dw i ddim yn hoffi coffi.,welsh,I don't like coffee.
Es i i'r siop.,welsh,I went to the shop.
Dw i'n dod o Loegr.,welsh,I come from England.
Dw i'n dod o Loegr.,welsh,I'm from England.
Dw i'n dy garu di.,welsh,I love you.
Mae'r car yn las.,welsh,The car is blue.
Ble mae'r llyfr?,welsh,Where is the book?
Dw i'n hoffi ieithoedd.,welsh,I like languages.
Dw i'n gwybod.,welsh,I know.
Ond fe gysgodd fel baban.,welsh,But he slept like a baby.
Dyma eich allwedd.,welsh,Here is your key.
Mae annwyd arnaf i.,welsh,I've got a cold.
Wyt ti'n hoffi te?,welsh,Do you like tea?
Beth sydd fel arfer yn achosi'r boen?,welsh,What usually causes the pain?
"Pwnc heddiw ydyw ""y broblem o bobol Siapanaidd sydd wedi cael eu herwgipio gan Ngogledd Corea"".",welsh,"Today's topic is ""the problem of Japanese people abducted by North Korea""."
Cafodd hi ei geni yn America.,welsh,She was born in America.
Mae e'n dod o Gymru.,welsh,He comes from Wales.
Mae e'n gwybod ble dyn ni'n byw.,welsh,He knows where we live.
Pwy ydw i?,welsh,Who am I?
Esgusodwch fi. Ydych chi'n siarad Saesneg?,welsh,Excuse me. Do you speak English?
Faint yw hwn?,welsh,How much is this?
Ble mae'r toiled?,welsh,Where's the restroom?
Ble mae'r toiled?,welsh,Where is the toilet?
Ble mae'r toiled?,welsh,Where's the toilet?
Ble mae'r toiled?,welsh,Where's the loo?
Penblwydd Hapus!,welsh,Happy birthday!
Mae fy hofrenfad yn llawn llyswennod.,welsh,My hovercraft is full of eels.
Tom ydy fy ffrind gorau.,welsh,Tom is my best friend.
Mae llygaid du 'da fi.,welsh,I have black eyes.
Wyt ti'n byw yn Nhokyo?,welsh,Do you live in Tokyo?
Dych chi'n byw yn Nhokyo?,welsh,Do you live in Tokyo?
Mae cath wen 'da fi.,welsh,I have a white cat.
Mae Tom yn chwyrnu.,welsh,Tom is snoring.
Dw i'n hoffi cŵn.,welsh,I like dogs.
Dyn ni ym Mharis.,welsh,We are in Paris.
Gaf i eistedd yma?,welsh,May I sit here?
Gaf i eistedd yma?,welsh,Can I sit here?
Dw i'n hoffi tennis.,welsh,I like tennis.
Atgyfododd Crist!,welsh,Christ is risen!
Sut wyt ti?,welsh,How are you?
Sut dych chi?,welsh,How are you?
Dw i'n dod o'r Eidal a dw i'n siarad Eidaleg.,welsh,I come from Italy and I speak Italian.
Dw i'n dod o Awstralia.,welsh,I come from Australia.
Dw i'n dod o Frasil.,welsh,I come from Brazil.
Dw i'n dod o Siapan.,welsh,I come from Japan.
"Does dim arian 'da fi, ond breuddwydion 'da fi.",welsh,"I have no money, but I have dreams."
Diolch.,welsh,Thank you!
Diolch.,welsh,Thanks!
Diolch.,welsh,Thanks.
Mae hi'n bwrw glaw.,welsh,It is raining.
Mae hi'n bwrw glaw.,welsh,It's raining.
Mae hi'n bwrw cesair.,welsh,It's hailing.
Iaith hardd yw'r Gymraeg.,welsh,Welsh is a beautiful language.
Dw i wedi ennill y gêm.,welsh,I have won the game.
Dw i ddim yn teimlo'n dda.,welsh,I don't feel well.
Dw i ddim yn teimlo'n dda.,welsh,I'm not feeling well.
Dw i'n hen.,welsh,I am old.
Dw i'n caru Tatoeba.,welsh,I love Tatoeba.
Dw i eisiau cysgu.,welsh,I want to sleep.
Mae Tom yn dal.,welsh,Tom is tall.
Mae Tom yn benfoel.,welsh,Tom is bald.
Bore da.,welsh,Good morning!
Ddaeth Tom?,welsh,Did Tom come?
Dw i'n gallu deall dy iaith di.,welsh,I can understand your language.
Pasg Hapus!,welsh,Happy Easter!
Mae ci 'da fe.,welsh,He has a dog.
Mae e'n ei helpu hi.,welsh,He helps her.
Mae car 'da fe.,welsh,He has a car.
Arwr yw e.,welsh,He is a hero.
Bardd yw e.,welsh,He is a poet.
Carodd e hi.,welsh,He loved her.
Mae e'n ei charu hi.,welsh,He loves her.
Dw i'n gweithio.,welsh,I am working.
Dw i'n teimlo'n hapus.,welsh,I feel happy.
Mae llygad ddu 'da fi.,welsh,I have a black eye.
Doedd bron ddim arian ar ôl.,welsh,There was scarcely any money left.
Dydy o ddim yn gallu cyfri.,welsh,He can't count.
Doedd ddim digon o aur gyda nhw.,welsh,They did not have enough gold.
Panda wyt ti.,welsh,You are a panda.
Mae fy marn i yn debyg i dy farn di.,welsh,My opinion is similar to yours.
Mathemateg ydy ein gwers cyntaf ni.,welsh,Our first lesson is math.
Mae hi'n bwyta ei chinio yn yr adref.,welsh,She has lunch at home.
Peidiwch â thaflu sbwriel fan yma.,welsh,Don't throw garbage away here.
Peidiwch â chymryd ei hochr ef bob amser.,welsh,Don't always take sides with him.
Mae Tom yn wallgof dros Mary.,welsh,Tom is crazy about Mary.
Ble mae'r problem?,welsh,Where is the problem?
"Yn sicr, mae'n mynd i bwrw glaw.",welsh,"It's going to rain, for sure."
Aeth Alice i'r gwely am ddeg o'r gloch.,welsh,Alice went to bed at ten.
Esgusodwch fi.,welsh,Excuse me.
Dros fy nghrogi!,welsh,Over my dead body!
Rwyt ti'n fy neall i.,welsh,You understand me.
Dych chi'n fy neall i.,welsh,You understand me.
Nid yw un iaith byth yn ddigon.,welsh,One language is never enough.
Dw i methu aros yma heno.,welsh,I can't stay here tonight.
Gofynodd y dewin am wirfoddolwr o'r gynulleidfa.,welsh,The magician asked for a volunteer from the audience.
Wyt ti'n hoffi golff?,welsh,Do you like golf?
Dydi hi ddim yn dda i orfwyta.,welsh,It's not good to overeat.
Mae Tom yn casáu pawb.,welsh,Tom hates everybody.
Mae hi'n braf iawn heddiw.,welsh,It is very fine today.
Pa bryd wnawn ni ail-baentio ei hystafell hi?,welsh,When will we repaint her room?
Doeddwn i ddim yn barod.,welsh,I wasn't ready.
"Beth yw enw dy wraig? ""Dydw i ddim yn briod.""",welsh,"What's your wife's name? ""I'm not married."""
Cuddiodd y llwynog yn y goeden wag.,welsh,The fox hid in the hollow tree.
Mae ganddo fab a dwy ferch.,welsh,He has a son and two daughters.
